"Type","SousType","Nom","Description","Adresse","E-mail","Link","IdMedia","ComUrbaine","Latitude","Longitude","Altitude"
"Sports","Stade","Stade Jean ANDERLONI","Ce stade représente le premier équipement sportif  réalisé par  la Communauté de Communes du Pays des Paillons.
 
","Quartier du Fontanil 06340 Drap      Contact: 06 47 81 56 72",,"http://www.drapfootball.com/",,"Pays des Paillons","43.763501","7.341496",
"Sports","Stade","Stade Bruno de Zottis","Stade municipal de Contes.Ouvert 
du lundi au samedi de 8h à 23h et le week-end en fonction des compétitions et des rencontres. Fermeture pendant les vacances scolaires."," Chemin du Gheit 06390 Contes",,,,"Pays des Paillons","43.804708","7.319591",
"Sports","Stade","Stade municipal de Blausasc","La Commune de Blausasc met à la
disposition de ses habitants et des associations un grand choix d'équipements sportifs et de loisirs dont le stade municipal situé col de Pelletier.","Col de Pelletier route de la Pallarea      06440 Blausasc",,,,"Pays des Paillons","43.804677","7.401166",

