"Type","SousType","Nom","Description","Adresse","E-mail","Link","IdMedia","ComUrbaine","Latitude","Longitude","Altitude"
"Transports","Gares","Gare Drap-Cantaron","Futur pôle multimodal. Les aménagements porteront sur la modernisation des infrastructures, le mobilier urbain et la création d'un parking à vélos.
Le Conseil de Développement a réalisé un guide des transports, disponible dans les gares.","Place de la Gare 06340 Cantaron",,"http://www.pays-des-paillons.fr/","Drap-Cantaron-Gare.jpg","Pays des Paillons","43.75994","7.33814",
"Transports","Gares","Gare de L'Escarène ","Futur pôle multimodal. Les aménagements 
porteront  sur  la  modernisation des infrastructures,  le mobilier urbain et la création d'un parking à vélos. 
Le Conseil de Développement a réalisé un guide des transports, disponible dans les gares.","Place de la Gare 064440 L'Escarène",,"http://www.pays-des-paillons.fr/","Gare-Escarene.jpg","Pays des Paillons","43.83971","7.35132",
"Transports","Gares","Gare de Peillon-Sainte-Thècle ","Halte ferroviaire de la ligne Nice-Breil, desservie par des trains TER PACA. Un  parking pour les véhicules est aménagé. Pas de guichet.
Le Conseil de Développement a réalisé un guide des transports, disponible dans les gares. ","Avenue de la Gare 06440 Peille ",,"http://www.pays-des-paillons.fr/",,"Pays des Paillons","43.767851","7.366837","180 m."
"Transports","Gares","Gare de Peille La Grave de Peille","Halte ferroviaire implantée sur la ligne Nice-Breil, desservie par des trains TER PACA. Un parking pour véhicules est aménagé.   ","Chemin du Nougairet La Grave de Peille 06440 Peille ",,,,"Pays des Paillons","43.791931","7.379851",
"Transports","Gares","Gare de Touët de L'Escarène","Halte ferroviaire implantée sur la ligne Nice-Breil, desservie par des trains TER PACA. Un parking pour véhicules est aménagé. Pas de guichet. Le Conseil de Développement a réalisé un guide des transports, disponible dans les gares.","Avenue de la Gare 06440 Touët de L'Escarène",,"http://www.pays-des-paillons.fr/",,"Pays des Paillons","43.847078","7.364269","370 m."
,

